Title,Developer(s),Publisher(s),Series,Platform(s),Genre(s),Mode(s),Release_datetime_obj,Designer(s),Engine,Arcade system,Programmer(s),Composer(s),Director(s),Producer(s),Artist(s),Writer(s)
Donkey Kong,"['Nintendo R&D1', 'Ikegami Tsushinki']",Nintendo,Donkey Kong Mario,"['Arcade', 'Game & Watch', 'Atari 2600', 'Intellivision', 'ColecoVision', 'Coleco Mini-arcade', 'Atari 8-bit', 'Famicom/NES', 'TI-99/4a', 'IBM PC', 'Commodore 64', 'VIC-20', 'MSX', 'ZX Spectrum', 'Amstrad CPC', 'Atari 7800', 'Apple II', 'Nintendo e-Reader', 'Game Boy Advance']",Platform,Single-player,1981-07-31,"['Shigeru Miyamoto', 'Gunpei Yokoi']",Engine Not Available,Radar Scope,Programmer(s) Not Available,['Yukio Kaneoka'],Shigeru Miyamoto,Gunpei Yokoi,['Shigeru Miyamoto'],Writer(s) Not Available
Frogger,Konami,"['Sega', 'Sega/Gremlin Industries']",['Frogger'],['Arcade'],Action,Single-player,1981-06-05,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Galaga,Namco,['Midway Manufacturing'],Galaxian,"['Arcade', 'SG-1000', 'MSX', 'Nintendo Entertainment System', 'Atari 7800', 'Game Boy', 'mobile phone', 'Xbox 360', 'Roku', 'iOS', 'Xbox One', 'PlayStation 4', 'Windows']",Fixed shooter,"['Single-player', 'multiplayer']",1981-07-23,['Hiroshi Ono'],Engine Not Available,Namco Galaga,['Tetsu Ogawa'],['Nobuyuki Ohnogi'],['Shigeru Yokoyama'],Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Tempest,"Atari, Inc.","Atari, Inc.",Series Not Available,"['Arcade', 'Atari ST', 'Amstrad CPC', 'BBC Micro', 'ZX Spectrum']",Tube shooter,"['Up to 2 players', 'alternating turns']",1981-10,Dave Theurer,Engine Not Available,Arcade system Not Available,Dave Theurer,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Joust,"['Williams Electronics', 'Atari, Inc.']","['Atarisoft', 'Atari Corporation']",Series Not Available,"['Arcade', 'Apple II', 'Atari 2600', 'Atari 5200', 'Atari 7800', 'Atari 8-bit', 'Lynx', 'Atari ST', 'IBM PC', 'Macintosh', 'NES']",Action,['Up to 2 players simultaneously'],1982-07-16,John Newcomer,Engine Not Available,Arcade system Not Available,['Bill Pfutzenreuter'],"['Tim Murphy', 'John Kotlarik (sounds)']",Director(s) Not Available,Producer(s) Not Available,Jan Hendricks Python Anghelo,Writer(s) Not Available
Ms. Pac-Man,"['General Computer Corporation', 'Midway']",Midway,Pac-Man,"['Arcade', 'Atari 2600', 'Atari 5200', 'Atari 7800', 'Atari 8-bit', 'VIC-20', 'Commodore 64', 'ZX Spectrum', 'IBM PC', 'Apple II', 'TI99-4/A', 'Nintendo Entertainment System', 'Sega Genesis', 'Super Nintendo Entertainment System', 'Game Boy', 'Game Boy Color']",Maze,"['Single-player', 'multiplayer']",1982-01-13,['Steve Golson'],Engine Not Available,Namco Pac-Man,Programmer(s) Not Available,['Chris Rode'],Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Pitfall!,Activision,['Activision'],Series Not Available,"['Atari 2600', 'Atari 8-bit', 'ColecoVision', 'MSX', 'C64', 'Intellivision', 'Apple II']",Platform,Single-player,1982-08-20,David Crane,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Robotron: 2084,Vid Kidz Shadowsoft (Lynx),"['Williams Electronics', 'Atarisoft', 'Atari, Inc.', 'Atari Corporation']",Series Not Available,"['Arcade', 'Apple II', 'Atari 8-bit', 'Atari 5200', 'Atari 7800', 'Atari ST', 'BBC Micro', 'Commodore 64', 'Lynx', 'IBM PC', 'VIC-20']",Multidirectional shooter,"['1', '2']",1982,"['Eugene Jarvis', 'Larry DeMar']",Engine Not Available,Arcade system Not Available,"['Eugene Jarvis', 'Larry DeMar']",Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Lode Runner,"['Doug Smith', 'Irem', 'Hudson Soft']","['Broderbund', 'Ariolasoft', 'SystemSoft', 'Irem']",Series Not Available,"['Apple II', 'Atari 8-bit', 'Commodore 64', 'VIC-20', 'IBM PC', 'Arcade', 'PC-8801', 'SG-1000', 'NES', 'Pravetz 82/8М', 'ZX Spectrum', 'MSX', 'Atari ST', 'PC Engine', 'Xbox 360', 'Windows', 'iPod', 'Macintosh', 'Virtual Console', 'PlayStation 3', 'BBC Micro', 'PlayStation', 'SNES', 'Amstrad CPC', 'Game Boy', 'Amiga']",Puzzle-platform,Single-player,1983-06-23,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Shinichi Nakamoto(NES)'],['Isamu Hirano(NES)'],Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Star Wars,"Atari, Inc.","['Sega, S.A. SONIC']",Star Wars,Arcade,Rail shooter,Single-player,1983-05-05,['Mike Hally'],Engine Not Available,Arcade system Not Available,"['Greg Rivera', 'Norm Avellar']",['Earl Vickers'],Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Elite,"['David Braben', 'Ian Bell']","['Acornsoft', 'Firebird', 'Imagineer']",Elite,"['BBC Micro', 'Acorn Electron', 'Apple II', 'Amstrad CPC', 'Commodore 64', 'ZX Spectrum', 'MSX', 'Tatung Einstein', 'IBM PC compatible', 'Acorn Archimedes', 'Amiga', 'Atari ST', 'Nintendo Entertainment System']",Space trading and combat simulator,Single player,1984-09-20,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Johann Strauss', 'David Whittaker']",Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Marble Madness,"['Atari Games', 'Midway Games']",['Atari Games'],Series Not Available,"['Arcade', 'Amiga', 'Apple II', 'Apple IIGS', 'Atari ST', 'C64', 'Game Boy', 'Game Boy Advance', 'Game Gear', 'Master System', 'Nintendo Entertainment System', 'IBM PC', 'Genesis', 'X68000', 'ZX Spectrum']","['Platform', 'racing']",['Up to 2 players simultaneously'],1984-12-15,Mark Cerny,Engine Not Available,Atari System 1,['Bob Flanagan'],Brad Fuller Hal Canon,Director(s) Not Available,Producer(s) Not Available,"['Mark Cerny', 'Sam Comstock']",Writer(s) Not Available
Tetris,"['Alexey Pajitnov', 'Vladimir Pokhilko']",Publisher(s) Not Available,Series Not Available,List of Tetris variants,"['Puzzle', 'tile-matching']","['Single-player', 'multiplayer']",1984,Alexey Pajitnov,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Gauntlet,"['Atari Games', 'Tengen']",['Namco'],Gauntlet,"['Arcade', 'Amstrad CPC', 'Atari ST', 'Apple II', 'Apple IIGS', 'Macintosh', 'Commodore 64', 'MSX', 'Master System', 'NES', 'Genesis', 'ZX Spectrum', 'MS-DOS', 'PlayStation (console)']","['Hack and slash', 'Dungeon crawl']","['Single-player', '4-player multiplayer']",1985-10-15,Ed Logg,Engine Not Available,Atari Gauntlet,['Bob Flanagan'],"['Ben Daglish', 'Tiertex']",Director(s) Not Available,Producer(s) Not Available,"['Sam Comstock', 'Susan G. McBride', 'Alan J. Murphy', 'Will Noble']",Writer(s) Not Available
Ghosts 'n Goblins,Capcom,['Taito America'],Ghosts 'n Goblins,"['Arcade', 'Amstrad CPC', 'Commodore 64', '16', 'MSX', 'NES', 'ZX Spectrum', 'Amiga', 'Atari ST', 'Game Boy Color', 'IBM PC', 'Virtual Console', 'Android', 'iOS']",Platform,"['Single-player', 'multiplayer']",1985-07-07,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Toshio Arima'],['Ayako Mori'],Tokuro Fujiwara,Producer(s) Not Available,['Masayoshi Kurokawa'],Writer(s) Not Available
Super Mario Bros.,Nintendo R&D4,Nintendo,Super Mario,"['Nintendo Entertainment System', 'Arcade']",Platform,Single-player,1985-09-13,['Takashi Tezuka'],Engine Not Available,Nintendo VS. System,"['Toshihiko Nakago', 'Kazuaki Morita']",Koji Kondo,Shigeru Miyamoto,['Shigeru Miyamoto'],"['Shigeru Miyamoto', 'Takashi Tezuka']",Writer(s) Not Available
Bubble Bobble,Taito,"['Taito', 'Romstar']",['Bubble Bobble'],"['Arcade', 'Nintendo Entertainment System', 'Amiga', 'Atari ST', 'Commodore 64', 'ZX Spectrum', 'Amstrad CPC', 'Game Boy', 'Game Gear', 'Sharp X68000', 'Game Boy Color', 'Sega Master System', 'Sega Saturn', 'PlayStation']",Platform,"['Single-player', 'multiplayer']",1986-09,Fukio Mitsuji,Engine Not Available,['Taito Bubble Bobble'],Programmer(s) Not Available,['Tadashi Kimijima'],Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
The Legend of Zelda,Nintendo R&D4,Nintendo,The Legend of Zelda,"['Family Computer Disk System', 'Nintendo Entertainment System']",Action-adventure,Single-player,1986-02-21,['Takashi Tezuka'],Engine Not Available,Arcade system Not Available,"['Toshihiko Nakago', 'Yasunari Soejima', 'I. Marui']",Koji Kondo,"['Shigeru Miyamoto', 'Takashi Tezuka']",['Shigeru Miyamoto'],Artist(s) Not Available,"['Takashi Tezuka', 'Keiji Terui (manual backstory)']"
Out Run,Sega,"['Sega', 'U.S. Gold']",['Out Run'],"['Arcade', 'NEC PC-8801', 'Atari ST', 'Amiga', 'Amstrad CPC', 'Commodore 64', 'Game Gear', 'Genesis', 'Master System', 'MSX', 'PC Engine', 'MS-DOS', 'Sega Saturn', 'ZX Spectrum', 'Nintendo 3DS', 'Nintendo Switch']",Driving,Single-player,1986-09,Yu Suzuki,Engine Not Available,Sega OutRun,Programmer(s) Not Available,Hiroshi Kawaguchi,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Contra,Konami,['Konami'],Contra,"['Amstrad CPC', 'BlackBerry OS', 'CoCo', 'Commodore 64', 'J2ME', 'IBM PC', 'MS-DOS', 'MSX2', 'ZX Spectrum']",Run and gun,"['Single-player', 'multiplayer']",1987-02-20,Arcade version Koji Hiroshita NES version Shigeharu Umezaki Shinji Kitamoto,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Arcade version Kazuki Muraoka NES/Famicom version Hidenori Maezawa Kiyohiro Sada,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Double Dragon,"['Arc System Works', 'Software Creations']","['Tradewest', 'Nintendo', 'Mastertronic', 'Ballistic']",Double Dragon,['Arcade'],Beat 'em up,"['Up to 2 players', 'simultaneous']",1987-04-22,"['Koji Kai', 'Shinichi Saito']",Engine Not Available,['Custom'],"['Hiroshi Satoh', 'Tomoyasu Koga', 'Nari Nishimura', 'Hideki Kaneda']",['Kazunaka Yamane'],Yoshihisa Kishimoto Shinichi Saito,['Yoshihisa Kishimoto'],"['Kumiko Mukai', 'Mizuho Yama', 'Akemi Tasaki', 'Misae Nakaya', 'Masato Shiroto']",Writer(s) Not Available
Punch-Out!!,Nintendo R&D3,Nintendo,Punch-Out!!,"['Famicom/NES', 'Arcade', 'PlayChoice-10']","['Sports', 'fighting']",Single-player,1987-09-18,"['Kazuo Yoneyama', 'Mayumi Hirota']",Engine Not Available,Arcade system Not Available,['Masato Hatakeyama'],"['Akito Nakatsuka', 'Kenji Yamamoto']",Genyo Takeda,Minoru Arakawa,Makoto Wada,Writer(s) Not Available
R-Type,Irem,['Nintendo'],R-Type,"['3DS Virtual Console', 'Amiga', 'Amstrad CPC', 'Android', 'Atari ST', 'Commodore 64', 'Game Boy', 'Game Boy Color', 'iOS', 'Master System', 'Mobile phone', 'MSX2', 'Nintendo Switch', 'PC-88', 'PC Engine CD', 'PlayStation', 'PlayStation 3', 'PlayStation 4', 'Steam', 'TurboGrafx-16', 'Wii Virtual Console', 'Wii U Virtual Console', 'X68000', 'Xbox 360', 'ZX Spectrum']",Side-scrolling shooter,"['Single-player', 'multiplayer']",1987-05-15,['Abiko'],Engine Not Available,['Irem M72'],"['Sum', 'Misachin']",['Masato Ishizaki'],Director(s) Not Available,['Kinte'],"['Akio', 'Yoshige']",Writer(s) Not Available
Mega Man 2,Capcom,['Capcom'],Mega Man,"['NES/Famicom', 'PlayStation', 'mobile phones', 'iOS', 'Android', 'Microsoft Windows']","['Action', 'platform']",Single-player,1988-12-24,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,['Nobuyuki Matsushima'],['Takashi Tateishi'],Akira Kitamura,Tokuro Fujiwara,['Keiji Inafune'],Writer(s) Not Available
Ninja Gaiden,Tecmo,['Tecmo'],Ninja Gaiden,"['NES', 'PC Engine', 'Super NES', 'Mobile phone']","['Platform', 'hack-and-slash']",Single-player,1988-12-09,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Keiji Yamagishi Ryuichi Nitta,Hideo Yoshizawa,Producer(s) Not Available,Masato Kato,['Hideo Yoshizawa']
Super Mario Bros. 3,Nintendo R&D4,Nintendo,Super Mario,"['Arcade', 'PlayChoice-10', 'Nintendo Entertainment System', 'Game Boy Advance']",Platforming,"['Single-player', 'multiplayer']",1988-10-23,"['Katsuya Eguchi', 'Hideki Konno', 'Kensuke Tanabe']",Engine Not Available,Arcade system Not Available,['Toshihiko Nakago'],Koji Kondo,"['Shigeru Miyamoto', 'Takashi Tezuka']",['Shigeru Miyamoto'],"['Hideki Konno', 'Hiroyuki Kimura', 'Yōichi Kotabe']",Writer(s) Not Available
Prince of Persia,"['Domark', 'Arsys Software', 'Riverhillsoft', 'MotiveTime', 'Virgin Games']","['Riverhillsoft', 'Konami', 'Ubisoft']",['Prince of Persia'],['Apple II'],Cinematic platformer,Single-player,1989-10-03,Jordan Mechner,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Mark Cooksey', 'Tommy Tallarico']",Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
SimCity,"['Superior Software', 'Nintendo EAD', 'Babaroga']","['Infogrames', 'Acornsoft', 'Fujitsu', 'Nintendo', 'Interplay Productions']",SimCity,"['Archimedes', 'Electron', 'Amiga', 'Amstrad CPC', 'Atari ST', 'BBC Micro', 'Commodore 64', 'CDTV', 'DESQview', 'MS-DOS', 'EPOC32', 'FM Towns', 'iOS', 'J2ME', 'Linux', 'Mac OS', 'OLPC XO-1', 'OS/2', 'PC-98', 'SNES', 'Unix', 'Windows', 'X68000', 'ZX Spectrum']",City-building,"['Single-player', 'multiplayer']",1989-02-02,Will Wright,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,Composer(s) Not Available,Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
The Secret of Monkey Island,Lucasfilm Games,['U.S. Gold'],Monkey Island,"['Amiga', 'Atari ST', 'FM Towns', 'Classic Mac OS', 'MS-DOS', 'Sega CD', 'iOS', 'Microsoft Windows', 'OS X', 'PlayStation 3', 'Xbox 360']",Graphic adventure,Single-player,1990-10,"['Dave Grossman', 'Tim Schafer']",SCUMM,Arcade system Not Available,Programmer(s) Not Available,['Michael Land'],Ron Gilbert,['Greg Hammond'],Steve Purcell Mark Ferrari Mike Ebert Martin Cameron,"['Ron Gilbert', 'Dave Grossman', 'Tim Schafer']"
Speedball 2: Brutal Deluxe,The Bitmap Brothers,"['Image Works', 'Arena Entertainment', 'Empire Interactive', 'Akella', 'Tower Studios', 'SOFEL']",Series Not Available,"['Acorn Archimedes', 'Atari ST', 'Amiga', 'Amiga CD32', 'Commodore 64', 'PC', 'Sega Master System', 'Game Boy', 'Game Boy Advance', 'Sega Mega Drive', 'Windows Mobile', 'PlayStation', 'Xbox 360', 'iPhone', 'Symbian']","['Sports', 'Action']","['Single-player', 'multiplayer']",1990,['Eric Matthews'],Engine Not Available,Arcade system Not Available,['Robert Trevellyan'],Nation 12,Director(s) Not Available,Producer(s) Not Available,['Daniel Malone'],Writer(s) Not Available
Super Mario World,Nintendo EAD,Nintendo,Super Mario,"['Super NES', 'Game Boy Advance']",Platform,"['Single-player', 'multiplayer']",1990-11-21,"['Katsuya Eguchi', 'Hideki Konno']",Engine Not Available,Arcade system Not Available,['Toshihiko Nakago'],Koji Kondo,Takashi Tezuka,Shigeru Miyamoto,Shigefumi Hino,Writer(s) Not Available
Another World,"['Delphine Software', 'Interplay']","['U.S. Gold', 'Virgin Interactive', 'Headup Games']",Series Not Available,"['Amiga', 'Atari ST', '3DO Interactive Multiplayer', 'Atari 800', 'Apple IIGS', 'Atari Jaguar', 'Mac OS', 'MS-DOS', 'Game Boy Advance', 'Sega CD', 'Sega Genesis', 'Super Nintendo Entertainment System', 'iOS', 'Linux', 'Android', 'Microsoft Windows', 'Nintendo 3DS', 'OS X', 'PlayStation 3', 'PlayStation 4', 'PlayStation Vita', 'Symbian', 'Wii U', 'Windows Mobile', 'Xbox One', 'Nintendo Switch']",['Action-adventure'],['Single-player'],2011-09-22,Éric Chahi,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,['Jean-François Freitas'],Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
Civilization,MicroProse,MicroProse Koei (Super NES),Civilization,"['MS-DOS', 'Amiga', 'PC-98', 'Atari ST', 'Windows', 'Macintosh', 'Super NES', 'Sony PlayStation', 'Sega Saturn']",Turn-based strategy,Single-player,1991-09,Sid Meier Bruce Shelley,Engine Not Available,Arcade system Not Available,['Sid Meier'],Jeffery L. Briggs,Director(s) Not Available,Sid Meier,Artist(s) Not Available,"['B. C. Milligan', 'Jeffery L. Briggs', 'Bruce Campbell Shelley']"
The Legend of Zelda: A Link to the Past,Nintendo EAD,Nintendo,The Legend of Zelda,Super Nintendo Entertainment System,Action-adventure,Single-player,1991-11-21,Designer(s) Not Available,Engine Not Available,Arcade system Not Available,"['Yasunari Soejima', 'Toshihiko Nakago']",Koji Kondo,Takashi Tezuka,Shigeru Miyamoto,"['Masanao Arimoto', 'Tsuyoshi Watanabe']",['Kensuke Tanabe']
Lemmings,"['DMA Design', 'SunSoft', 'Probe Entertainment', 'Psygnosis', 'Ocean Software']","['Psygnosis', 'Sunsoft', 'Sega', 'Atari Corporation', 'Ocean Software', 'Philips Media']",Series Not Available,"['MS-DOS', 'Classic Mac OS', 'Atari ST', 'ZX Spectrum', 'Amiga CDTV', 'Acorn Archimedes', 'PC-98', 'FM Towns', 'Sharp X68000', 'Apple IIGS', 'SNES', 'Turbografx-CD', 'Sega Genesis', 'Game Gear', 'Amstrad CPC', 'Master System', 'NES', 'Commodore 64', '3DO', 'Atari Lynx', 'SAM Coupé', 'Game Boy', 'Philips CD-i', 'Amiga CD32', 'Microsoft Windows', 'PlayStation', 'J2ME']",Puzzle,"['Single-player', 'multiplayer']",1991-02-14,David Jones,Engine Not Available,Arcade system Not Available,['Mike Dailly'],['Tim Wright'],Director(s) Not Available,Producer(s) Not Available,"['Mike Dailly', 'Gary Timmons', 'Scott Johnston']",Writer(s) Not Available
Monkey Island 2: LeChuck's Revenge,LucasArts,['U.S. Gold'],Monkey Island,"['Amiga', 'FM Towns', 'Mac OS', 'MS-DOS', 'iOS', 'Microsoft Windows', 'PlayStation 3', 'Xbox 360', 'Xbox One']",Graphic adventure,Single-player,2010-07-07,"['Dave Grossman', 'Tim Schafer']",SCUMM,Arcade system Not Available,Programmer(s) Not Available,"['Michael Land', 'Peter McConnell', 'Clint Bajakian']",Ron Gilbert,Shelley Day,Artist(s) Not Available,"['Dave Grossman', 'Tim Schafer']"
Sonic the Hedgehog,Sonic Team,Sega,Sonic the Hedgehog,"['Arcade', 'Game Boy Advance', 'Windows', 'Nintendo 3DS', 'iOS', 'Android', 'Amazon Fire TV', 'Apple TV', 'Nintendo Switch']",Platform,Single-player,1991-06-23,Hirokazu Yasuhara,Engine Not Available,Arcade system Not Available,Yuji Naka,Masato Nakamura,Director(s) Not Available,Shinobu Toyoda,"['Naoto Ohshima', 'Rieko Kodama']",Writer(s) Not Available
Street Fighter II: The World Warrior,Capcom Sun L (Game Boy),Capcom Nintendo (Game Boy),Street Fighter,"['Super NES', 'PC Engine', 'Sega Mega Drive/Genesis', 'Amiga', 'Atari ST', 'Amstrad CPC', 'Commodore 64', 'ZX Spectrum', 'DOS', 'CPS Changer', 'Game Boy', 'Master System', 'Java ME']",Fighting,['Up to 2 players simultaneously'],1991-02-06,"['Akira Nishitani', 'Akira Yasuda']",Engine Not Available,CP System (CPS-1),"['Shinichi Ueyama', 'Seiji Okada', 'Yoshihiro Matsui', 'Motohide Eshiro']",Yoko Shimomura Isao Abe,Director(s) Not Available,Yoshiki Okamoto,"['Eri Nakamura', 'Satoru Yamashita']",Writer(s) Not Available
Dune II,Westwood Studios,Virgin Games,Dune,"['Amiga', 'MS-DOS', 'RISC OS', 'Genesis/Mega Drive']",Real-time strategy,Single-player,1993,"['Joe Bostic', 'Marc Cram', 'Aaron E. Powell']",Engine Not Available,Arcade system Not Available,"['Joseph Bostic', 'Scott K. Bowen']",Frank Klepacki Dwight Okahara,"['Aaron E. Powell', 'Lyle J. Hall']",Brett Sperry,Artist(s) Not Available,"['Rick Gush', 'Donna J. Bundy', 'Marc Cram']"
Flashback,"['Delphine Software International', 'Tiertex']","['U.S. Gold', 'Microids']",Series Not Available,"['Amiga', 'Acorn Archimedes', 'Mega Drive/Genesis', 'MS-DOS', 'NEC PC-9801', 'Super NES', 'Sega CD', 'FM Towns', '3DO', 'CD-i', 'Atari Jaguar', 'Mac OS', 'iPhone OS', 'Symbian', 'Maemo', 'Dreamcast', 'Nintendo Switch', 'PlayStation 4']",Cinematic platformer,Single-player,1992,Paul Cuisset,Engine Not Available,Arcade system Not Available,Programmer(s) Not Available,"['Jean Baudlot', 'Raphaël Gesqua']",Director(s) Not Available,Producer(s) Not Available,Artist(s) Not Available,Writer(s) Not Available
